Vertical,L1 ID,L1 Nombre,L2 ID,L2 Nombre,L3 ID,L3 Nombre,Ejemplo
Automotive,MLA1512,Agro,MLA456833,Energia Renovable,MLA456834,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456927,Herramientas de Trabajo,MLA32258,Artículos para Equitación,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456927,Herramientas de Trabajo,MLA456928,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456927,Herramientas de Trabajo,MLA456929,Herramientas Eléctricas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456927,Herramientas de Trabajo,MLA456933,Herramientas Manuales,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456927,Herramientas de Trabajo,MLA457022,Instrumentos de Medición,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456932,Fertilizantes,MLA456932,Fertilizantes,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA456964,Semillas,MLA456964,Semillas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457052,Producción Animal,MLA457055,Insumos Sanidad Animal,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457052,Producción Animal,MLA457056,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457052,Producción Animal,MLA457072,Herramientas y Accesorios,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457052,Producción Animal,MLA457111,Tambo,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457052,Producción Animal,MLA457171,Insumos Nutrición Animal,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457084,Maquinaria Forrajera,MLA457101,Desmalezadoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457084,Maquinaria Forrajera,MLA457108,Rotoenfardadoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457084,Maquinaria Forrajera,MLA457121,Picadoras de Forraje,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA457264,Riego,MLA457268,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1574,"Hogar, Muebles y Jardín",MLA1621,Jardin y Aire Libre,MLA436371,Invernaderos y Carpas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1574
Automotive,MLA1953,Otras categorías,MLA73672,Insumos para Tatuajes,MLA455058,Neumáticos Prueba,https://www.mercadolibre.com.ar/mas-vendidos/MLA1953
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA2220,Baterías,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA3169,Cristales,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA3172,Motor,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA4859,Filtros,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA22222,Suspensión y Dirección,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA22245,Inyección,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA22260,Encendido,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA22291,Frenos,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA22292,Escapes,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA85927,Electroventiladores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA85960,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA86841,Instalaciones Eléctricas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373048,Climatización,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373108,Repuestos de Exterior,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373142,Iluminación,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373144,Repuestos de Habitáculo,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373344,Cerraduras y Llaves,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373357,Componentes de Seguridad,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373359,Carrocería,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1747,Repuestos Autos y Camionetas,MLA373442,Transmisión,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA3935,Faros y Ópticas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA3936,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA22280,Espejos,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA45502,Baterías,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA61155,Transmisión,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA377698,Motor,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA377699,Chasis,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA377700,Encendido,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA388937,Filtros,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA1771,Repuestos Motos y Cuatriciclos,MLA437386,Escapes y Silenciadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA60657,Llaves,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA392534,Extractores de Polea,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA412409,Malacates,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA416712,Cabinas de Pintura,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA417246,Desarmadoras de Neumáticos,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA430577,Camillas para Mecánicos,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA455301,Escaneo,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA455303,Elevación,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA455304,Herramientas para Baterías,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA2227,Herramientas para Vehículos,MLA455307,Medición,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA3384,Parlantes,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA3385,Potencias y Amplificadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA3387,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA3695,Ecualizadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA7446,Pantallas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA11883,Controles Remotos,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA22367,Lunetas y Cajas Acústicas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA44525,Capacitores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA69545,Antenas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA69571,Bazookas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA418329,Cornetas,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA418330,Drivers,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA437344,Interfaces,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA437346,Reproductores,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA3381,Audio para Vehículos,MLA455438,Sets de Parlantes Componentes,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA4589,Tuning,MLA1749,Merchandising,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
Automotive,MLA5725,Accesorios para Vehículos,MLA4589,Tuning,MLA4590,Tuning Exterior,https://www.mercadolibre.com.ar/mas-vendidos/MLA5725
